65 : 157002, 569962, 576180, 869634, 781821, 52188, 606380, 782307, 6405, 992978
66 : 997979, 53298, 7758, 102274, 414228, 376423, 7346, 686362, 5669, 5390
67 : 520776, 38802, 538358, 994346, 543283, 335382, 48146, 213670, 38036, 37790
68 : 741851, 323185, 528107, 814152, 477883, 734709, 814150, 743583, 475045, 745206
69 : 465284, 239136, 634609, 322838, 458570, 778803, 231693, 229951, 511904, 956344
70 : 768033, 543487, 655162, 768142, 6804, 541740, 768112, 5912, 6430, 6124
71 : 496198, 887421, 5155, 399103, 795787, 217444, 795689, 754927, 5885, 5826
72 : 700028, 277568, 483587, 198752, 268892, 204614, 906834, 699496, 57922, 448667
73 : 256424, 574996, 986963, 573991, 86188, 88691, 470408, 405640, 190271, 6853
74 : 55790, 724824, 548275, 831381, 426817, 314481, 437048, 426975, 353104, 7364
75 : 456105, 335363, 481177, 952748, 7616, 823106, 106343, 937405, 874762, 6553
76 : 890258, 284144, 821033, 267648, 203370, 194189, 273005, 324333, 218377, 120210
77 : 87779, 171405, 32969, 468269, 30911, 907550, 988313, 581325, 322937, 908325
78 : 92163, 730884, 464949, 496766, 151237, 465039, 464954, 547884, 924921, 544739
79 : 674756, 118923, 8486, 673324, 411888, 5967, 8069, 138184, 919617, 6070
80 : 329676, 420058, 588905, 918058, 870629, 610680, 900930, 7188, 591140, 7451
81 : 11237, 834026, 365342, 888353, 603552, 800817, 223910, 986179, 840245, 833230
82 : 154577, 275418, 210676, 679265, 522375, 806288, 127248, 280953, 31395, 177759
83 : 905839, 6778, 566213, 40878, 74493, 414280, 847922, 714059, 6005, 296270
84 : 280264, 351328, 469776, 299339, 711937, 280838, 216176, 32475, 227733, 8894
85 : 480026, 208081, 479638, 409350, 479823, 479889, 797123, 802125, 419010, 754930
86 : 114829, 808513, 526166, 253067, 424719, 900912, 910669, 73061, 642062, 807714
87 : 820955, 417700, 521335, 642572, 282502, 643125, 39337, 297056, 526037, 7722
88 : 754572, 8899, 38386, 7065, 38522, 38545, 6901, 38464, 39462, 7098
89 : 825058, 521135, 187888, 386717, 825274, 823542, 7118, 811323, 754531, 7627
90 : 85193, 815425, 815524, 85967, 815326, 815480, 821939, 84465, 9417, 9258
91 : 910423, 783564, 876763, 407337, 802478, 187329, 707795, 57569, 648328, 439826
92 : 863588, 956233, 183768, 349404, 942656, 792323, 806838, 511325, 7797, 8356
93 : 196106, 826938, 311426, 963357, 742556, 742597, 742678, 338664, 437379, 991587
94 : 478217, 875276, 616609, 856493, 985312, 857588, 962974, 986478, 37970, 8419
95 : 312589, 332566, 785689, 916928, 625082, 298797, 332322, 691386, 664898, 849118
96 : 983966, 518456, 354583, 519686, 307804, 656723, 203122, 267400, 309650, 436416
97 : 266655, 397268, 202377, 260607, 381144, 57297, 84157, 84825, 807683, 8825
98 : 280557, 793629, 207803, 39076, 37993, 37844, 896881, 768297, 911693, 112511
99 : 369366, 155524, 305493, 753679, 637319, 368453, 8782, 753623, 440321, 8082
Execution time: 52280 milliseconds
